motif, est_occurrences, est_frequency, samples, sampling_algo, spanning_trees, vertices
BBAIDI, 8.4981e+19, 1.2053e-05, 11, N, 7, 67678 72057 60112 7820 90338 159902 106872
AEKEJA, 8.4981e+19, 1.2053e-05, 11, N, 7, 142985 64348 123076 168037 23899 8430 123018
AAEPMA, 8.2406e+19, 1.1688e-05, 32, N, 21, 144229 97702 54024 46508 21570 61862 25949
ABAPHI, 7.8800e+19, 1.1176e-05, 204, N, 140, 109959 138062 21159 142071 26419 125642 61862
AECKLA, 6.3349e+19, 8.9849e-06, 41, N, 35, 155955 161555 98313 160566 136561 107672 12100
AAJHHI, 6.2908e+19, 8.9222e-06, 171, N, 147, 57873 18894 30225 120673 129396 71050 61862
AADPPI, 5.7183e+19, 8.1102e-06, 829, N, 784, 61977 148989 77324 63816 29245 125642 71050
AAEPLI, 5.2147e+19, 7.3961e-06, 108, N, 112, 87122 121651 150352 111151 134124 153604 32283
AFAHEI, 5.0216e+19, 7.1221e-06, 26, N, 28, 97226 57968 61405 798 3646 71050 28437
AAFJPA, 4.8928e+19, 6.9395e-06, 76, N, 84, 53485 78503 96202 136964 123370 32338 125642
ABAPGA, 4.8285e+19, 6.8482e-06, 25, N, 28, 154708 57226 150595 43538 94333 143081 27683
BAFCFI, 4.6353e+19, 6.5743e-06, 18, N, 21, 47251 78510 113382 57209 30911 64605 77205
AAFJPI, 4.5388e+19, 6.4373e-06, 141, N, 168, 116218 18326 73031 100412 30543 37818 61862
AAFLHA, 4.4246e+19, 6.2755e-06, 63, N, 77, 122880 102026 53050 32351 148530 111372 145505
AAEPNA, 4.4246e+19, 6.2755e-06, 63, N, 77, 90953 17367 167192 109094 95933 32700 110345
AAEPLA, 4.0559e+19, 5.7525e-06, 42, N, 56, 2857 92957 61183 152943 38711 125642 58773
AAEPNI, 4.0099e+19, 5.6873e-06, 109, N, 147, 125902 139763 37691 1 26309 111372 21412
AECKLI, 3.7223e+19, 5.2793e-06, 53, N, 77, 121488 112604 52405 61256 138822 61862 52703
ABENEI, 3.6052e+19, 5.1133e-06, 14, N, 21, 16318 88593 82536 25820 139543 111372 156782
AAEPPI, 3.4379e+19, 4.8759e-06, 178, N, 280, 138474 58967 62764 58021 34033 34625 71050
ABAPHA, 3.0258e+19, 4.2915e-06, 47, N, 84, 64323 1189 158971 96356 103126 155127 146733
AAEPMI, 3.0044e+19, 4.2611e-06, 35, N, 63, 76615 152543 75222 328 107553 60588 35408
AIELFI, 2.1245e+19, 3.0132e-06, 22, N, 56, 159278 89689 163004 134979 163961 142918 52703
AAEPPA, 2.0280e+19, 2.8762e-06, 63, N, 168, 101958 10637 33531 37692 7305 69330 32338
ABAPPI, 2.0205e+19, 2.8657e-06, 136, N, 364, 145466 31413 29442 162340 77394 34625 64605
AAMNII, 1.7382e+19, 2.4654e-06, 9, N, 28, 22361 13747 167781 75130 124587 32338 37752
AFANBI, 1.5451e+19, 2.1914e-06, 6, N, 21, 161856 128402 152975 33570 44335 57867 113074
AGBAHI, 1.5451e+19, 2.1914e-06, 6, N, 21, 73919 19232 37637 111674 10529 149870 167560
IAAOPI, 1.5065e+19, 2.1366e-06, 39, N, 140, 59695 125601 66283 55839 110226 61862 125642
ABENFI, 1.4046e+19, 1.9922e-06, 20, N, 77, 124395 8872 87100 38289 141493 161362 64605
AIELHI, 1.3612e+19, 1.9305e-06, 37, N, 147, 15324 129271 136089 146373 16753 93045 52703
AEFDFI, 1.2642e+19, 1.7930e-06, 18, N, 77, 100578 3672 22330 84226 153250 11604 146235
AAFLPA, 1.2554e+19, 1.7805e-06, 52, N, 224, 127257 146491 45379 130660 50978 123018 32338
ABBPHI, 1.1885e+19, 1.6857e-06, 80, N, 364, 148041 14470 140514 161545 74486 64605 125642
ABAPOI, 1.1864e+19, 1.6827e-06, 43, N, 196, 31563 117977 52925 152460 81329 141561 152296
ABENMA, 1.1588e+19, 1.6436e-06, 9, N, 42, 87772 43618 11064 81053 103019 155127 32338
AIIHDI, 1.1588e+19, 1.6436e-06, 12, N, 56, 33479 112639 33400 125642 32338 77884 153604
ACFIOA, 1.1588e+19, 1.6436e-06, 6, N, 28, 25418 118608 93733 106121 158302 110194 123018
AAHIPI, 1.0945e+19, 1.5523e-06, 34, N, 168, 165822 117718 130299 109961 26223 35248 64605
AAGOPI, 1.0623e+19, 1.5066e-06, 55, N, 280, 41687 163880 98313 26707 17082 52703 132936
AAHIPA, 1.0301e+19, 1.4610e-06, 16, N, 84, 92893 116347 90533 140731 74450 35358 125642
ABAPOA, 9.6569e+18, 1.3696e-06, 20, N, 112, 132313 54032 29261 158563 167777 6938 61862
AEKEJI, 9.2706e+18, 1.3149e-06, 6, N, 35, 49492 126980 16379 98164 151890 102527 83691
AAFPPI, 9.1741e+18, 1.3012e-06, 114, N, 672, 141949 31620 136826 99522 68078 110345 61862
AEMHII, 8.6912e+18, 1.2327e-06, 9, N, 56, 163344 131977 73843 60843 32338 107823 156782
ADAMHI, 8.6912e+18, 1.2327e-06, 9, N, 56, 77556 63012 25541 146733 105501 68078 110345
AIELNI, 7.9919e+18, 1.1335e-06, 30, N, 203, 98864 102982 12441 130673 21534 154461 61862
AIGKHI, 7.3577e+18, 1.0435e-06, 20, N, 147, 157885 65481 36900 26309 22174 110345 54063
ACJEHI, 6.8671e+18, 9.7397e-07, 8, N, 63, 25256 156155 153486 112641 61405 152296 31559
ABBPHA, 6.7598e+18, 9.5875e-07, 28, N, 224, 59852 147185 8694 109081 151510 32338 125642
AEIHJI, 6.3209e+18, 8.9649e-07, 9, N, 77, 14182 124369 155127 64382 32944 71050 85877
ABEPHI, 5.7942e+18, 8.2179e-07, 30, N, 280, 155196 107199 48994 161362 6250 129928 125642
AKAKHI, 5.7942e+18, 8.2179e-07, 6, N, 56, 28368 49440 162052 72998 32338 86949 31559
BEJCDI, 5.6186e+18, 7.9688e-07, 8, N, 77, 64025 97063 61230 148905 167147 68865 54087
ACFIPI, 5.4723e+18, 7.7613e-07, 17, N, 168, 163201 84046 38513 142909 8555 129396 71050
ACBOPI, 5.4723e+18, 7.7613e-07, 34, N, 336, 67265 13827 96382 64364 63443 85877 64605
AAMNJI, 5.1504e+18, 7.3048e-07, 8, N, 84, 162331 17206 61862 144643 111995 37813 32338
BBAMFI, 5.1504e+18, 7.3048e-07, 2, N, 21, 62811 55575 144628 58136 104247 105838 130218
ACFGHI, 4.8285e+18, 6.8482e-07, 10, N, 112, 86814 113620 126581 782 32338 43197 78354
AADPPA, 4.5388e+18, 6.4373e-07, 47, N, 560, 94027 21314 70096 89704 88546 108010 31982
AEIHLI, 4.1847e+18, 5.9351e-07, 13, N, 168, 91855 82537 134927 33271 54063 30732 64605
AAGOPA, 4.1847e+18, 5.9351e-07, 13, N, 168, 125235 51545 164379 129587 96109 117105 155127
AEEPJI, 4.0467e+18, 5.7395e-07, 11, N, 147, 73006 140037 145707 138816 83698 145615 61862
IAAOPA, 3.8628e+18, 5.4786e-07, 6, N, 84, 165489 108620 10038 36900 121245 158403 125642
AHAGMI, 3.6052e+18, 5.1133e-07, 7, N, 105, 97566 53870 71602 35408 87309 69644 71050
ABENPI, 3.5116e+18, 4.9805e-07, 25, N, 385, 97429 52979 140672 152881 11604 37297 71050
IEACPI, 3.4336e+18, 4.8698e-07, 4, N, 63, 67295 117043 113830 138130 23357 60379 60588
AEFDMI, 3.3109e+18, 4.6959e-07, 6, N, 98, 87458 165191 91388 88518 62088 53444 130673
ABKEOI, 3.2190e+18, 4.5655e-07, 5, N, 84, 148033 148655 76024 3040 13222 52703 32338
AIIHMI, 3.0902e+18, 4.3829e-07, 6, N, 105, 58600 113103 74209 83095 61405 45353 161362
AAOKLI, 2.9431e+18, 4.1741e-07, 8, N, 147, 157469 41284 82717 96467 143921 114786 71050
AEFLDI, 2.8971e+18, 4.1089e-07, 9, N, 168, 141669 96561 34301 19470 57699 7329 38031
ADAMOI, 2.8971e+18, 4.1089e-07, 3, N, 56, 115623 36235 153375 103698 136920 125642 61862
CAEHFI, 2.8971e+18, 4.1089e-07, 3, N, 56, 55229 72082 23586 131286 16813 111776 146733
ACBPPI, 2.8036e+18, 3.9764e-07, 45, N, 868, 44779 93120 60961 145941 80346 110345 125642
AAMPJI, 2.7039e+18, 3.8350e-07, 7, N, 140, 82785 154688 148889 125040 61862 6250 140156
AEKGLA, 2.5752e+18, 3.6524e-07, 4, N, 84, 100280 38942 76961 32440 30947 112771 125642
AGBCOA, 2.5752e+18, 3.6524e-07, 1, N, 21, 18650 148839 117967 16379 160024 150750 151890
CAEHHI, 2.4142e+18, 3.4241e-07, 5, N, 112, 164550 43791 67235 29391 131397 25459 32338
ABEPPI, 2.3411e+18, 3.3203e-07, 30, N, 693, 15702 82938 2981 20366 23124 125642 61862
AFAPDI, 2.2073e+18, 3.1306e-07, 6, N, 147, 130871 24924 1470 137665 119034 86678 105992
ADAOOI, 2.2073e+18, 3.1306e-07, 8, N, 196, 253 150723 110696 161491 156435 164205 152296
AAFPPA, 2.1728e+18, 3.0817e-07, 18, N, 448, 59475 127825 132228 147604 129051 125642 32338
EAEOLI, 1.9314e+18, 2.7393e-07, 4, N, 112, 129222 1533 163855 35724 60588 146733 56255
EEEGJI, 1.9314e+18, 2.7393e-07, 2, N, 56, 159378 73955 131893 137705 16974 64605 125603
CBCGHI, 1.8648e+18, 2.6448e-07, 7, N, 203, 88398 107672 149565 51436 37785 71050 6250
AGBCHI, 1.7168e+18, 2.4349e-07, 2, N, 63, 138920 47947 38317 107324 11608 120103 17845
CAEHMI, 1.7168e+18, 2.4349e-07, 2, N, 63, 148877 13627 166315 163650 145146 16379 104047
IEDCHA, 1.7168e+18, 2.4349e-07, 2, N, 63, 161176 68438 8659 155069 102880 45130 12100
CDAGGI, 1.6555e+18, 2.3480e-07, 3, N, 98, 154512 158887 96034 56614 32338 85509 161658
ADJEGI, 1.6555e+18, 2.3480e-07, 3, N, 98, 152363 56255 45290 60659 152296 127794 46550
ABGOPI, 1.6387e+18, 2.3242e-07, 21, N, 693, 59131 2439 125565 130536 143921 110345 61862
ABEPNI, 1.5737e+18, 2.2320e-07, 11, N, 378, 150820 47725 98625 4869 113417 83691 26309
AAHJPI, 1.5451e+18, 2.1914e-07, 12, N, 420, 151716 133756 61439 157076 114659 6250 125642
ABEPOA, 1.5451e+18, 2.1914e-07, 7, N, 245, 96863 161493 47049 126453 133251 125198 117567
AAMPPI, 1.5451e+18, 2.1914e-07, 15, N, 525, 148127 99239 78669 138119 9068 71050 61862
AAMPLI, 1.5451e+18, 2.1914e-07, 8, N, 280, 83126 44064 126056 82202 110345 83691 162374
AANNHI, 1.5451e+18, 2.1914e-07, 9, N, 315, 65010 161326 2600 146231 160954 30015 113707
ACFKPI, 1.4857e+18, 2.1071e-07, 10, N, 364, 138946 33293 90809 22075 53444 152296 123018
ABKGOI, 1.4485e+18, 2.0545e-07, 6, N, 224, 155253 17073 59379 31748 55192 138920 32338
AAOOPI, 1.4421e+18, 2.0453e-07, 14, N, 525, 75951 133780 34033 24208 132706 125642 61862
AEJHLI, 1.4163e+18, 2.0088e-07, 11, N, 420, 29356 155625 35549 9495 53909 154915 111372
AEHCPI, 1.4046e+18, 1.9922e-07, 10, N, 385, 122537 27293 129516 94979 4403 64605 61862
AEIHPI, 1.3734e+18, 1.9479e-07, 8, N, 315, 19265 56481 102986 113417 78367 160400 52703
AANPPI, 1.2876e+18, 1.8262e-07, 30, N, 1260, 77713 89593 9228 145166 61862 71050 125642
ABIPKI, 1.2876e+18, 1.8262e-07, 5, N, 210, 71701 125503 23067 66097 148905 113139 159756
AAHJPA, 1.2876e+18, 1.8262e-07, 6, N, 252, 6060 147454 79014 134613 90021 146235 61862
AANNHA, 1.2876e+18, 1.8262e-07, 4, N, 168, 105804 24773 126014 24604 78367 107854 61405
IBAOHA, 1.2876e+18, 1.8262e-07, 2, N, 84, 154274 84427 167925 83704 13071 32338 48744
AFCCOI, 1.2876e+18, 1.8262e-07, 2, N, 84, 104592 47029 51010 13233 30123 69045 112771
AAMPOA, 1.2876e+18, 1.8262e-07, 4, N, 168, 125572 18450 32536 164870 32505 81585 32338
ABEPOI, 1.2665e+18, 1.7963e-07, 10, N, 427, 64861 57687 39472 88974 46550 117461 108809
AAHPPI, 1.2416e+18, 1.7610e-07, 36, N, 1568, 113002 32354 55248 126706 82196 61862 125642
BBAOHI, 1.1588e+18, 1.6436e-07, 3, N, 140, 18428 35397 133853 30038 146660 125642 110345
AEFLLI, 1.1398e+18, 1.6166e-07, 9, N, 427, 948 99748 6283 23124 26151 71050 125642
IAIGPI, 1.1036e+18, 1.5653e-07, 3, N, 147, 119690 148369 145911 137899 39372 11601 155127
AAPEPA, 1.0656e+18, 1.5113e-07, 4, N, 203, 18836 92947 75754 130028 22887 71050 40868
ABENNI, 1.0301e+18, 1.4610e-07, 4, N, 210, 124720 142637 164047 46550 70316 4975 71050
CAEPHI, 9.6569e+17, 1.3696e-07, 5, N, 280, 51243 117105 50332 714 126706 64605 155127
AGBCPI, 9.6569e+17, 1.3696e-07, 3, N, 168, 131046 108423 31452 13430 104437 160440 125642
ADAOOA, 9.6569e+17, 1.3696e-07, 2, N, 112, 109322 160696 52638 140401 35408 78367 107854
ADANOI, 9.6569e+17, 1.3696e-07, 4, N, 224, 127 120393 116353 51716 40675 25418 61862
IACOPI, 9.0889e+17, 1.2891e-07, 8, N, 476, 142445 118504 11675 53416 82593 32338 52703
BAFKPI, 8.9141e+17, 1.2643e-07, 6, N, 364, 129216 29337 132656 68078 155628 52703 64605
AAMPOI, 8.5839e+17, 1.2175e-07, 5, N, 315, 66532 65058 135013 17420 108809 26475 125642
AEJHLA, 8.5839e+17, 1.2175e-07, 4, N, 252, 138220 95450 107854 125417 155230 52703 71050
CAEHPI, 8.0474e+17, 1.1414e-07, 5, N, 336, 146420 38687 81641 82411 99496 114044 32338
AIIPLA, 7.7255e+17, 1.0957e-07, 3, N, 210, 122722 154276 148905 100305 55558 115019 125642
ACFMPA, 7.2427e+17, 1.0272e-07, 3, N, 224, 61862 51774 976 144238 12174 123018 32338
IBIGGI, 7.0232e+17, 9.9610e-08, 1, N, 77, 93180 71552 32122 5261 110345 148301 69330
IFAKDI, 7.0232e+17, 9.9610e-08, 1, N, 77, 64329 161099 152258 25949 76961 75403 147167
AEOEJI, 7.0232e+17, 9.9610e-08, 1, N, 77, 83691 166431 115085 148905 30268 10048 155127
IEADPI, 5.7226e+17, 8.1164e-08, 2, N, 189, 60194 11347 165954 23216 115269 163598 32338
AANNPA, 5.5982e+17, 7.9400e-08, 5, N, 483, 80595 118326 91674 22498 50710 94108 32338
CAEPLI, 5.5182e+17, 7.8265e-08, 4, N, 392, 120754 130657 41693 86484 73860 1781 32338
CKAKDI, 5.5182e+17, 7.8265e-08, 1, N, 98, 62744 59611 143873 104474 55192 162374 120267
AFBHFI, 5.3280e+17, 7.5566e-08, 2, N, 203, 12603 139448 19243 161362 160961 122295 71050
ADEOOI, 5.0659e+17, 7.1850e-08, 4, N, 427, 48142 91093 8846 159913 94979 61405 78367
AANNPI, 4.8720e+17, 6.9099e-08, 7, N, 777, 78149 5215 65800 153672 112989 124088 125642
ACFJOA, 4.8285e+17, 6.8482e-08, 1, N, 112, 21659 80221 150910 121935 155127 107854 32338
AEPAHI, 4.8285e+17, 6.8482e-08, 1, N, 112, 20151 167702 45293 156448 141131 71050 123799
CAEPLA, 4.8285e+17, 6.8482e-08, 2, N, 224, 167490 154870 24624 168112 131284 88518 110345
CCBGHA, 4.8285e+17, 6.8482e-08, 1, N, 112, 118213 152015 80656 138024 16379 34126 61862
AGBDOI, 4.6821e+17, 6.6407e-08, 2, N, 231, 163584 143943 117010 53544 149870 26968 32338
AEHDPI, 4.5444e+17, 6.4454e-08, 8, N, 952, 51566 52226 21417 152394 162170 5507 125642
AANNLA, 4.4146e+17, 6.2612e-08, 2, N, 245, 94245 5899 108994 39822 152296 6250 123018
AFAPLI, 4.2139e+17, 5.9766e-08, 3, N, 385, 13574 164150 12197 67333 73811 41855 3646
AJEPFI, 4.2139e+17, 5.9766e-08, 3, N, 385, 79507 59372 1604 52703 64605 14230 163138
AEJPLI, 4.1760e+17, 5.9228e-08, 6, N, 777, 72046 30026 64605 119654 24945 61862 127601
ACFOPI, 4.0237e+17, 5.7068e-08, 5, N, 672, 119821 24773 71575 60049 64605 6250 146235
ADAPOI, 3.8628e+17, 5.4786e-08, 4, N, 560, 75712 26258 47619 64836 4635 39372 6250
IBAOHI, 3.8628e+17, 5.4786e-08, 1, N, 140, 42539 31982 82466 13935 21141 61862 110345
EEFCLI, 3.6788e+17, 5.2177e-08, 1, N, 147, 107911 103238 155127 39393 40239 61405 78367
EBBGHI, 3.6788e+17, 5.2177e-08, 1, N, 147, 48549 167147 143142 86115 140534 37818 60588
AAPFNA, 3.5116e+17, 4.9805e-08, 2, N, 308, 11850 48864 137373 61265 30293 155127 59214
ACFPPI, 3.2735e+17, 4.6429e-08, 10, N, 1652, 119728 54493 71073 99788 25107 39190 32338
CAEPHA, 3.2190e+17, 4.5655e-08, 1, N, 168, 98336 95427 74425 14764 113004 16108 37818
BAFLNI, 3.2190e+17, 4.5655e-08, 3, N, 504, 56174 122874 103151 39794 111372 110345 125642
ACFLOA, 3.2190e+17, 4.5655e-08, 2, N, 336, 148106 157800 113010 75573 16108 94840 153672
AFDCHI, 3.2190e+17, 4.5655e-08, 1, N, 168, 133670 149516 71376 62178 22887 110345 43548
ABNPHI, 3.0044e+17, 4.2611e-08, 7, N, 1260, 68577 125427 161257 95002 125642 32147 78367
CAEPPI, 2.9714e+17, 4.2143e-08, 4, N, 728, 130299 47028 97308 40511 26475 119034 110345
BBAOPI, 2.9714e+17, 4.2143e-08, 2, N, 364, 81623 132593 71504 109048 108553 40868 125642
ACNMPI, 2.7840e+17, 3.9485e-08, 4, N, 777, 126602 139308 149554 11571 60588 167147 125642
AAPFPA, 2.7591e+17, 3.9133e-08, 3, N, 588, 115166 132297 29020 67293 146733 125642 32338
CEGCLI, 2.6640e+17, 3.7783e-08, 1, N, 203, 127423 8659 59505 155628 87309 79583 64605
AIKGPA, 2.5752e+17, 3.6524e-08, 1, N, 210, 107016 139443 48387 167147 103246 104011 26707
ACFJPI, 2.4142e+17, 3.4241e-08, 2, N, 448, 70079 26475 116756 11933 61862 55192 125642
ACBOPA, 2.4142e+17, 3.4241e-08, 1, N, 224, 72998 61507 86918 33798 71742 155127 110345
CIIHHI, 2.3411e+17, 3.3203e-08, 2, N, 462, 148510 163298 14793 66618 111018 150554 125642
ADCOPI, 2.3411e+17, 3.3203e-08, 4, N, 924, 57680 136072 82236 158561 45001 125642 71050
CIGKHA, 2.2073e+17, 3.1306e-08, 1, N, 245, 100587 32338 35664 105440 145639 61862 148905
MABGHI, 2.1460e+17, 3.0437e-08, 1, N, 252, 107672 152862 134345 51686 92388 52703 116648
AIMPPI, 2.0880e+17, 2.9614e-08, 5, N, 1295, 11611 162517 10523 118227 148828 3646 60588
AIMPHI, 2.0601e+17, 2.9219e-08, 2, N, 525, 163747 33364 152296 67333 22080 121866 86321
ACFNNI, 2.0330e+17, 2.8835e-08, 2, N, 532, 70465 81715 83040 97736 88248 54063 111372
IAEOPI, 1.9314e+17, 2.7393e-08, 1, N, 280, 167191 143035 1783 166072 67052 119034 85877
AIMPFI, 1.9314e+17, 2.7393e-08, 1, N, 280, 145121 133848 61405 11620 139587 5507 125642
AEMPJI, 1.9314e+17, 2.7393e-08, 1, N, 280, 138907 4946 83753 80473 139593 106236 128864
CCENJI, 1.8843e+17, 2.6725e-08, 1, N, 287, 92413 120928 83499 17261 61862 156782 124088
ACNNJI, 1.8394e+17, 2.6088e-08, 2, N, 588, 58640 64615 57287 92897 110345 94979 5507
ACBPPA, 1.8394e+17, 2.6088e-08, 2, N, 588, 90383 69624 42088 9230 146987 107854 61862
AEHDNA, 1.7558e+17, 2.4903e-08, 1, N, 308, 56556 5820 44437 40604 83691 125742 27683
CAGGPI, 1.6095e+17, 2.2827e-08, 1, N, 336, 152923 47843 11551 129051 150536 125642 56255
AELHLA, 1.6095e+17, 2.2827e-08, 2, N, 672, 130640 133532 128864 160638 163506 32338 155127
AIKGPI, 1.4046e+17, 1.9922e-08, 1, N, 385, 72429 103853 124627 65630 158403 61862 71050
CCFGHI, 1.3796e+17, 1.9566e-08, 1, N, 392, 76181 108424 45596 38743 14649 86266 18554
AAPNPA, 1.2876e+17, 1.8262e-08, 3, N, 1260, 146565 89715 8710 88163 167147 32338 125642
AANPPA, 1.2876e+17, 1.8262e-08, 2, N, 840, 61042 132115 112682 136959 5507 94979 125642
AKEONI, 1.2665e+17, 1.7963e-08, 1, N, 427, 52825 131603 164046 94990 115814 116324 46550
IAIHPI, 1.2263e+17, 1.7392e-08, 1, N, 441, 102726 111491 85877 119867 51199 161362 125642
ACFOPA, 1.2071e+17, 1.7121e-08, 1, N, 448, 79766 51545 23243 31017 95880 155127 32338
GAEHLI, 1.2071e+17, 1.7121e-08, 1, N, 448, 162967 154915 99192 61405 161905 161166 10969
AEPBLI, 1.2071e+17, 1.7121e-08, 1, N, 448, 50041 98366 145545 79140 102193 94979 61862
AEPCOI, 1.2071e+17, 1.7121e-08, 1, N, 448, 108989 129903 119034 38031 108424 123018 27292
CEFLDI, 1.2071e+17, 1.7121e-08, 1, N, 448, 156311 145944 105002 26599 16786 125198 155127
AAPNPI, 1.1705e+17, 1.6602e-08, 4, N, 1848, 2024 139765 13796 42518 12134 125642 61862
CIKGHI, 1.1705e+17, 1.6602e-08, 1, N, 462, 41712 25949 93484 96606 116648 71050 31559
CEJHDI, 1.1196e+17, 1.5880e-08, 1, N, 483, 96005 61992 6250 15796 132908 35408 60588
AEJPLA, 1.1196e+17, 1.5880e-08, 1, N, 483, 78427 39929 113857 50251 34338 42605 123018
AAPPPI, 1.1036e+17, 1.5653e-08, 6, N, 2940, 26059 93335 5215 153398 27976 71050 125642
AEHLLI, 1.0440e+17, 1.4807e-08, 2, N, 1036, 156828 77766 150648 163138 147253 61862 64605
IAMOPI, 1.0301e+17, 1.4610e-08, 1, N, 525, 21066 117834 82478 154548 125642 78367 29391
AEMPLI, 1.0301e+17, 1.4610e-08, 1, N, 525, 97599 11856 59753 2477 112906 94119 52703
AAPHPA, 9.6569e+16, 1.3696e-08, 2, N, 1120, 16039 10368 87386 44039 161069 58773 60588
AIKHPA, 9.0889e+16, 1.2891e-08, 1, N, 595, 73300 48783 106320 72563 72354 32114 150073
AMLDDI, 8.6804e+16, 1.2311e-08, 1, N, 623, 77062 123271 83740 158403 150750 32338 14793
AEHLLA, 8.0474e+16, 1.1414e-08, 1, N, 672, 12285 109561 25756 65442 62266 69330 155127
