motif, est_occurrences, est_frequency, samples, sampling_algo, spanning_trees, vertices
ADPO, 2.3020e+16, 1.6889e-05, 768, N, 288, 159566 20146 144811 128402 125642 61862
AIPK, 2.2236e+16, 1.6314e-05, 170, N, 66, 114469 136219 50640 143786 83691 125642
AIPI, 1.8128e+16, 1.3300e-05, 63, N, 30, 83504 114715 80459 38670 159385 52703
BBJM, 1.7985e+16, 1.3195e-05, 50, N, 24, 13704 85432 64135 135138 120819 37637
IANO, 1.3848e+16, 1.0160e-05, 77, N, 48, 16749 81335 131050 134996 71050 39372
AIPO, 1.3017e+16, 9.5506e-06, 190, N, 126, 2793 137276 45600 35826 123018 52703
AEPO, 1.2679e+16, 9.3024e-06, 141, N, 96, 72668 102059 91898 37818 31559 110345
AHBO, 1.0871e+16, 7.9756e-06, 68, N, 54, 50453 13076 34581 110351 71050 61862
BINK, 7.3246e+15, 5.3739e-06, 56, N, 66, 129918 131257 122822 60588 62669 106320
AKNO, 7.1253e+15, 5.2277e-06, 104, N, 126, 126363 153473 229 66618 32338 11608
AGNO, 5.8450e+15, 4.2883e-06, 65, N, 96, 110714 23006 73778 34823 53031 85877
AGNM, 4.6760e+15, 3.4307e-06, 26, N, 48, 149217 48043 53907 45001 34625 143921
AFPO, 4.4242e+15, 3.2459e-06, 123, N, 240, 73195 10469 21003 115159 84226 83691
BBNO, 2.7337e+15, 2.0056e-06, 38, N, 120, 117505 161466 19861 17087 125642 61862
ADPM, 2.6977e+15, 1.9792e-06, 60, N, 192, 27104 35727 55189 161626 7329 156782
AHDM, 2.5178e+15, 1.8473e-06, 21, N, 72, 112906 106077 75157 104120 40868 123018
BBNM, 2.3979e+15, 1.7593e-06, 20, N, 72, 38443 45449 5885 40730 32338 112771
IENG, 2.3380e+15, 1.7153e-06, 13, N, 48, 163698 97570 107528 125642 55261 147449
AFPM, 2.0383e+15, 1.4954e-06, 34, N, 144, 109974 162434 94347 106249 164205 61862
AHDO, 2.0383e+15, 1.4954e-06, 34, N, 144, 151375 24453 40097 125445 160608 125642
DBEO, 1.7004e+15, 1.2475e-06, 13, N, 66, 70237 57891 58493 52703 70720 65615
BBPO, 1.4388e+15, 1.0556e-06, 52, N, 312, 154968 104047 76426 72018 139587 61862
EFFO, 1.2332e+15, 9.0479e-07, 18, N, 126, 163801 47947 115814 35146 126204 76922
BFNO, 6.8341e+14, 5.0141e-07, 19, N, 240, 167899 5349 114694 53444 106320 54063
MBEO, 6.1662e+14, 4.5240e-07, 6, N, 84, 88248 55485 7063 93397 87309 64605
AHPO, 5.8450e+14, 4.2883e-07, 39, N, 576, 87647 125308 64198 109961 64605 123018
AHHM, 5.8450e+14, 4.2883e-07, 13, N, 192, 135419 32073 148276 123785 14649 64605
ICNO, 5.6523e+14, 4.1470e-07, 11, N, 168, 71052 81394 128727 37750 40604 121866
MBEM, 4.7959e+14, 3.5186e-07, 2, N, 36, 155281 86343 160608 26309 152821 112281
ICNM, 4.4962e+14, 3.2987e-07, 5, N, 96, 35667 141621 104084 55799 144643 123018
CIOO, 3.5969e+14, 2.6390e-07, 6, N, 144, 112293 121866 56813 82530 105992 61862
IENO, 3.5969e+14, 2.6390e-07, 4, N, 96, 116173 33617 160890 126350 152296 68865
IGFK, 2.8775e+14, 2.1112e-07, 3, N, 90, 83652 54701 119809 107728 150073 82123
ANPO, 2.8775e+14, 2.1112e-07, 15, N, 450, 130780 72196 142701 7139 162374 111007
CHGO, 2.1228e+14, 1.5574e-07, 9, N, 366, 159309 116821 119034 120323 143921 95163
APJO, 1.9184e+14, 1.4075e-07, 6, N, 270, 42405 110345 112773 34410 153604 22080
BFPO, 1.8893e+14, 1.3861e-07, 13, N, 594, 136580 140514 154360 125503 102569 89069
BFLO, 1.8312e+14, 1.3435e-07, 7, N, 330, 61362 40334 31081 40868 78367 125642
EFHG, 1.4884e+14, 1.0920e-07, 3, N, 174, 9376 53104 166028 83001 75070 143731
CKOO, 1.1990e+14, 8.7966e-08, 5, N, 360, 145637 67333 707 48132 61862 125642
CIPO, 9.5918e+13, 7.0373e-08, 3, N, 270, 100533 164213 37818 102445 152857 110345
FFJG, 9.5918e+13, 7.0373e-08, 2, N, 180, 65984 166062 53444 65131 2716 154915
BFLG, 9.5918e+13, 7.0373e-08, 2, N, 180, 38949 116876 23914 37637 120819 113074
APPO, 7.9932e+13, 5.8644e-08, 10, N, 1080, 113423 100410 133031 90364 29007 112599
FBNM, 7.9932e+13, 5.8644e-08, 2, N, 216, 12962 6250 123018 78367 57677 110243
APLO, 6.4809e+13, 4.7549e-08, 5, N, 666, 121870 74656 129838 148905 125642 110345
KIMO, 5.9949e+13, 4.3983e-08, 1, N, 144, 54308 32338 75318 150699 125642 6250
IEPG, 5.9949e+13, 4.3983e-08, 1, N, 144, 138544 153342 7820 41911 154515 125642
BKNO, 5.3288e+13, 3.9096e-08, 2, N, 324, 28860 15858 125216 146733 71050 110345
BFPI, 4.1108e+13, 3.0160e-08, 1, N, 210, 115048 127875 73967 155999 54063 113417
CNOO, 3.8367e+13, 2.8149e-08, 2, N, 450, 92045 77833 72161 154915 6590 34823
IFNO, 3.5969e+13, 2.6390e-08, 1, N, 240, 50013 21913 3646 92771 139593 67862
NBNO, 3.1973e+13, 2.3458e-08, 3, N, 810, 71050 55305 67584 38524 162052 16379
IEPO, 2.9974e+13, 2.1991e-08, 1, N, 288, 133970 65581 94979 139587 67820 61862
EKNO, 2.6159e+13, 1.9193e-08, 1, N, 330, 1718 142218 80986 39372 2930 61862
IGNO, 2.5692e+13, 1.8850e-08, 1, N, 336, 21913 133800 97970 125542 130022 105704
JFNO, 2.5022e+13, 1.8358e-08, 2, N, 690, 41681 61780 93204 110345 82619 78354
BPJO, 2.3979e+13, 1.7593e-08, 2, N, 720, 98386 157301 111245 52703 37735 30441
ENPO, 2.3331e+13, 1.7118e-08, 3, N, 1110, 33466 2553 118098 126874 108351 32338
AHPM, 2.2481e+13, 1.6494e-08, 1, N, 384, 34268 134700 136614 163967 163304 54063
IFPM, 2.2481e+13, 1.6494e-08, 1, N, 384, 4608 71050 152296 16379 74100 18212
MINO, 2.1800e+13, 1.5994e-08, 1, N, 396, 29443 152508 159094 149150 98733 58773
IFPO, 1.3834e+13, 1.0150e-08, 1, N, 624, 129646 57532 4975 35468 119034 71050
DKNO, 1.2621e+13, 9.2596e-09, 1, N, 684, 45910 43586 109765 164591 143572 152296
BPPO, 4.4406e+12, 3.2580e-09, 1, N, 1944, 116114 14671 48253 6250 144643 58493
