motif, est_occurrences, est_frequency, samples, sampling_algo, spanning_trees, vertices
AGNO, 4.8904e+15, 3.5687e-06, 27, N, 96, 47475 23284 125503 19066 68865 34852
AFPO, 4.5644e+15, 3.3307e-06, 63, N, 240, 23027 146491 160500 112629 61862 125642
IENG, 4.3471e+15, 3.1721e-06, 12, N, 48, 53140 153672 128727 40868 78354 110714
BBNO, 4.3471e+15, 3.1721e-06, 30, N, 120, 154252 61069 23357 165701 123018 52703
ADPM, 3.2603e+15, 2.3791e-06, 36, N, 192, 75773 121420 155755 158792 125642 128864
AHDM, 2.4150e+15, 1.7623e-06, 10, N, 72, 26686 161316 75475 113720 31140 52703
AFPM, 2.1735e+15, 1.5861e-06, 18, N, 144, 153943 10469 110578 149150 110345 49274
BBPO, 1.8391e+15, 1.3421e-06, 33, N, 312, 16005 47660 135478 120818 61862 110345
BBNM, 1.6905e+15, 1.2336e-06, 7, N, 72, 93484 129022 47049 52703 149688 34890
EFFO, 1.6560e+15, 1.2084e-06, 12, N, 126, 161769 126866 158302 104942 45518 52703
DBEO, 1.5807e+15, 1.1535e-06, 6, N, 66, 51895 3323 113074 115200 153473 162737
CIOO, 1.4490e+15, 1.0574e-06, 12, N, 144, 115800 86266 65576 4572 152296 32338
ICNO, 1.3455e+15, 9.8185e-07, 13, N, 168, 133319 28427 13537 51032 162052 7329
AHDO, 1.2075e+15, 8.8115e-07, 10, N, 144, 42545 44171 109717 85939 74656 125642
MBEO, 1.0350e+15, 7.5527e-07, 5, N, 84, 146231 98733 40402 139023 123018 27534
BFNO, 9.4186e+14, 6.8730e-07, 13, N, 240, 16681 120665 54225 40868 110345 78354
AHHM, 6.3395e+14, 4.6260e-07, 7, N, 192, 6239 140955 116867 96758 40604 64605
AHPO, 5.7357e+14, 4.1855e-07, 19, N, 576, 119844 10504 106320 57440 5375 137373
ICNM, 5.4338e+14, 3.9652e-07, 3, N, 96, 25949 87088 119768 13849 119218 82536
IGFK, 3.8641e+14, 2.8197e-07, 2, N, 90, 93623 148905 41185 104818 54063 3180
IEPG, 3.6225e+14, 2.6434e-07, 3, N, 144, 116648 98175 155820 142328 116472 29007
ANPO, 3.0912e+14, 2.2557e-07, 8, N, 450, 138389 142089 22655 7329 87171 67333
APJO, 2.5760e+14, 1.8798e-07, 4, N, 270, 68908 151577 163053 161362 144643 91040
BFLO, 2.1077e+14, 1.5380e-07, 4, N, 330, 56813 29621 136580 148972 136179 111372
BFLG, 1.9320e+14, 1.4098e-07, 2, N, 180, 154805 135895 99613 110345 21003 140731
APLO, 1.5665e+14, 1.1431e-07, 6, N, 666, 102217 19009 10261 135337 107854 125642
KIMO, 1.2075e+14, 8.8115e-08, 1, N, 144, 104538 134273 120636 93032 107672 130673
APPO, 1.1270e+14, 8.2241e-08, 7, N, 1080, 139649 43548 162340 123076 125642 72974
EFHG, 9.9932e+13, 7.2923e-08, 1, N, 174, 102685 105817 45518 12481 97970 32338
AHPM, 9.0564e+13, 6.6086e-08, 2, N, 384, 78259 12960 111372 127879 125642 32283
IGNM, 9.0564e+13, 6.6086e-08, 1, N, 192, 156741 145505 82427 83753 104066 62355
BFPO, 8.7819e+13, 6.4084e-08, 3, N, 594, 89698 131603 138027 12916 67333 150073
IFNO, 7.2451e+13, 5.2869e-08, 1, N, 240, 118103 11883 20093 63934 155354 88974
CIPO, 6.4401e+13, 4.6995e-08, 1, N, 270, 29678 74656 86600 131608 127073 125642
BKNO, 5.3667e+13, 3.9162e-08, 1, N, 324, 112656 10192 79054 61862 60588 85877
CKOO, 4.8301e+13, 3.5246e-08, 1, N, 360, 399 25102 99800 49890 84226 119034
CHGO, 4.7509e+13, 3.4668e-08, 1, N, 366, 5018 13052 73081 148323 61862 52703
IFPM, 4.5282e+13, 3.3043e-08, 1, N, 384, 29264 82377 153659 136332 94990 25732
MINO, 4.3910e+13, 3.2042e-08, 1, N, 396, 112547 120679 54063 148828 27292 116472
APLM, 4.2001e+13, 3.0649e-08, 1, N, 414, 84233 134273 36313 160500 154446 12100
CNOO, 3.8641e+13, 2.8197e-08, 1, N, 450, 149927 28704 16813 12481 166908 134305
JFNO, 2.5200e+13, 1.8389e-08, 1, N, 690, 103704 95591 60279 2396 106320 3180
IHPO, 1.5094e+13, 1.1014e-08, 1, N, 1152, 66529 4905 160200 91877 125642 64605
